source_index,Date_Time,G_unshaded_W_m2,Shade_Percentage,G_shaded_W_m2,T_middle_C,T_shaded_measured_C,T_amb_C,wind_speed_m_s,V_mpp_module_V,I_mpp_module_A,P_mpp_module_W,V_shaded_cell_mpp_V,I_shaded_cell_mpp_A,P_cell_elec_mpp_W,P_reverse_heat_W,q_reverse_W_m2,q_total_W_m2,status,error_message
0,2025-09-14 12:06:10,989.21,49.0,504.49710000000005,44.11791,82.4,27.16882,3.404462,20.30000000000002,9.478893777808851,192.42154368951986,-11.598719911659627,6.3291670793433825,-73.4102362274007,73.4102362274007,2671.081973101299,3175.579073101299,ok,
1,2025-09-14 12:08:10,992.72,48.0,516.2144000000001,44.37752,81.5,27.24812,2.778292,20.30000000000002,9.501430721079403,192.87904363791208,-11.560037781258664,6.471334756113916,-74.80887427584919,74.80887427584919,2721.972381170983,3238.1867811709835,ok,
2,2025-09-14 12:09:10,993.33,48.0,516.5316,44.86721,81.6,26.99375,1.411265,20.20000000000002,9.535092208475684,192.608862611209,-11.543282818072079,6.473738797264105,-74.72819782714535,74.72819782714535,2719.036913055622,3235.568513055622,ok,
3,2025-09-14 12:14:10,997.45,49.0,508.69950000000006,44.88346,90.7,27.17725,3.404462,20.20000000000002,9.571777563447862,193.349906781647,-11.569737556865093,6.387213088345063,-73.89837915192615,73.89837915192615,2688.843389396949,3197.5428893969492,ok,
4,2025-09-14 12:15:10,998.06,49.0,509.01059999999995,44.65374,88.8,27.14147,2.063804,20.20000000000002,9.585939886266127,193.63598570257597,-11.578120509626867,6.3900633422030735,-73.98492344017622,73.98492344017622,2691.9923628930096,3201.0029628930097,ok,
5,2025-09-14 12:16:10,998.97,48.0,519.4644000000001,46.1188,92.5,27.00901,1.01841,20.10000000000002,9.585859918891671,192.67578436972278,-11.49682073008388,6.516810818292924,-74.92260570978497,74.92260570978497,2726.1105776756203,3245.57497767562,ok,
6,2025-09-14 12:26:10,1005.38,49.0,512.7438,51.3196,39.6,27.31156,1.185382,19.70000000000001,9.632225136332249,189.7548351857454,-11.358455228538283,6.366185016574541,-72.31002748735317,72.31002748735317,2631.0501208254636,3143.793920825464,ok,
7,2025-09-14 12:28:10,1008.43,50.0,504.215,47.58745,42.7,27.36586,3.312827,20.00000000000001,9.661840211296058,193.23680422592125,-11.515258997686551,6.2786422191812585,-72.30019130768164,72.30019130768164,2630.692224657913,3134.907224657913,ok,
8,2025-09-14 12:36:10,1009.19,49.0,514.6869,49.22572,37.0,27.66983,2.636493,19.90000000000001,9.652871555719399,192.0921439588161,-11.4309532152465,6.394903189399151,-73.09983917405232,73.09983917405232,2659.7879626701874,3174.4748626701876,ok,
9,2025-09-14 12:37:11,1011.48,49.0,515.8548000000001,49.70545,37.3,28.07842,1.720633,19.80000000000001,9.703086725945585,192.1211171737227,-11.414354602425629,6.408054305548327,-73.14380415512892,73.14380415512892,2661.3876587675772,3177.2424587675773,ok,
10,2025-09-14 12:38:10,1013.62,49.0,516.9462,49.83388,38.8,27.95352,1.920408,19.80000000000001,9.717677083168045,192.4100062467274,-11.409337475484588,6.422609769308824,-73.27772233138859,73.27772233138859,2666.260363786122,3183.206563786122,ok,
11,2025-09-14 12:48:10,1012.7,49.0,516.477,45.94155,85.2,29.41837,1.639499,20.10000000000002,9.717709736681897,195.32596570730632,-11.533041570732061,6.475643602325573,-74.68386686286595,74.68386686286595,2717.4239004074934,3233.9009004074933,ok,
12,2025-09-14 12:49:10,1011.63,49.0,515.9313,46.58517,86.5,28.16226,1.86339,20.10000000000002,9.682882467763463,194.62593760204578,-11.510428389791132,6.467855025463934,-74.44778210615331,74.44778210615331,2708.8337940383253,3224.7650940383255,ok,
13,2025-09-14 12:50:10,1012.7,50.0,506.35,46.99054,86.9,28.71519,3.282282,20.10000000000002,9.675767346858988,194.48292367186585,-11.525390750114635,6.349657096961475,-73.18227917171953,73.18227917171953,2662.787598728424,3169.137598728424,ok,
14,2025-09-14 12:56:10,1011.79,49.0,516.0129,45.44166,91.7,27.42945,2.774474,20.20000000000002,9.681078807888618,195.55779191935028,-11.54862968429256,6.477892301569666,-74.8107793255577,74.8107793255577,2722.041697715865,3238.0545977158654,ok,
15,2025-09-14 12:57:10,1011.18,49.0,515.7017999999999,46.29076,90.6,27.52595,2.257339,20.10000000000002,9.690376876364823,194.77657521493313,-11.519774024283791,6.470014827264422,-74.53310874385167,74.53310874385167,2711.938462480958,3227.640262480958,ok,
16,2025-09-14 12:58:10,1009.35,48.0,524.8620000000001,46.37136,91.4,27.69302,1.349778,20.10000000000002,9.671053354555895,194.38817242657368,-11.487147790385123,6.582388989832709,-75.61287514001216,75.61287514001216,2751.226506004081,3276.088506004081,ok,
17,2025-09-14 13:03:10,1014.08,59.0,415.7728000000001,46.83513,89.8,28.57563,1.561374,20.10000000000002,9.690642190523514,194.7819080295228,-11.774337000201974,5.236604607233142,-61.65754738237331,61.65754738237331,2243.452300146997,2659.225100146997,ok,
18,2025-09-14 13:04:10,1013.16,49.0,516.7116,46.82201,91.6,28.58612,1.788104,20.10000000000002,9.68733530352192,194.71543960079077,-11.500830030981678,6.48179092967557,-74.54597577855745,74.54597577855745,2712.4066383950553,3229.1182383950554,ok,
19,2025-09-14 13:05:10,1011.79,50.0,505.895,46.4162,90.0,29.48356,2.618649,20.10000000000002,9.690529515700106,194.77964326557233,-11.544775501728747,6.348892149681508,-73.29653455276103,73.29653455276103,2666.9448594091336,3172.8398594091336,ok,
20,2025-09-14 13:15:10,1008.47,49.0,514.3197,47.78743,78.7,28.87057,3.042233,20.00000000000001,9.65498229994886,193.0996459989773,-11.4710616370655,6.435964631550972,-73.82734698249475,73.82734698249475,2686.2588350210335,3200.5785350210335,ok,
21,2025-09-14 13:16:10,1005.11,48.0,522.6572,47.86163,79.4,28.37541,4.107525,20.00000000000001,9.62194544121234,192.4389088242469,-11.438952865468696,6.53771319364753,-74.78459307008691,74.78459307008691,2721.088892786667,3243.7460927866673,ok,
22,2025-09-14 13:17:10,1006.03,48.0,523.1356,47.76327,80.0,28.6357,2.767318,20.00000000000001,9.634210035029575,192.68420070059162,-11.442142272579813,6.54462569700388,-74.88453834590022,74.88453834590022,2724.725470439062,3247.861070439062,ok,
23,2025-09-14 13:18:10,1003.89,48.0,522.0228,49.34055,81.3,29.19958,1.248868,19.90000000000001,9.600730469820688,191.05453634943177,-11.387423417175643,6.52651474681667,-74.32018686044232,74.32018686044232,2704.1911531998417,3226.213953199842,ok,
